,Facility Name,Categories,Zipcode,Lat,Lng
0,Presbyterian / Saint Luke's Medical Center,"['building', 'building.healthcare', 'healthcare', 'healthcare.hospital']",80218,39.74715715000001,-104.96709668893541
1,AdventHealth Parker Hospital,"['healthcare', 'healthcare.hospital']",80138,39.548590149999995,-104.76909222943029
2,The Medical Center Of Aurora,"['healthcare', 'healthcare.hospital']",80012,39.69024745,-104.83214374884406
3,Porter Adventist Hospital,"['healthcare', 'healthcare.hospital']",80210,39.6699704,-104.97588317820552
4,Swedish Medical Center,"['healthcare', 'healthcare.hospital']",80113,39.6542801,-104.98121539103656
5,Littleton Adventist Hospital,"['healthcare', 'healthcare.hospital']",80122,39.5755567,-104.9858838118169
6,Denver Health Medical Center,"['healthcare', 'healthcare.hospital']",80204,39.7273281,-104.99120845393924
7,HealthOne Rose Medical Center,"['healthcare', 'healthcare.hospital']",80220,39.7316371,-104.9334075214867
8,Lutheran Medical Center,"['healthcare', 'healthcare.hospital']",80033,39.76569225,-105.0899229640259
9,The Hashimoto's Fix,['healthcare'],80231,39.6557214,-104.902967
10,UCHealth Emergency Room & Primary Care,"['building', 'building.healthcare', 'healthcare', 'healthcare.hospital']",80126,39.544216250000005,-104.94463859978272
11,UCHealth Emergency Room - Thornton,"['building', 'building.healthcare', 'healthcare', 'healthcare.clinic_or_praxis']",80241,39.91484455,-104.93979943206841
12,Sky Ridge Medical Center,"['healthcare', 'healthcare.hospital', 'wheelchair', 'wheelchair.yes']",80124,39.52894535,-104.8713302471549
13,"Children's Hospital Colorado Therapy Care, Broomfield","['building', 'building.healthcare', 'healthcare', 'healthcare.clinic_or_praxis']",80021,39.90647095,-105.09166359298968
14,Brighton Modern Dentistry and Orthodontics,"['building', 'building.healthcare', 'healthcare', 'healthcare.dentist']",80601,39.95839445,-104.77937091424221
15,Children's Hospital Colorado Orthopedic Care,"['building', 'building.healthcare', 'healthcare', 'healthcare.clinic_or_praxis']",80112,39.5736043,-104.88385423980098
16,After Ours Urgent Care,"['building', 'building.healthcare', 'building.office', 'healthcare', 'healthcare.clinic_or_praxis']",80224,39.65352705,-104.90948849985284
17,Platte Valley Medical Center,"['healthcare', 'healthcare.hospital']",80601,39.964003000000005,-104.76888807654464
18,Advanced Urgent Care & Occupational Medicine,"['building', 'building.healthcare', 'healthcare', 'healthcare.clinic_or_praxis', 'wheelchair', 'wheelchair.yes']",80601,39.97648415,-104.78925802505273
19,Hampden Family Dental,"['building', 'building.healthcare', 'building.office', 'healthcare', 'healthcare.dentist']",80224,39.65267595,-104.90720302501327
20,Park Hill Family Health Center,"['building', 'building.commercial', 'building.healthcare', 'healthcare', 'healthcare.clinic_or_praxis']",80207,39.76408565,-104.92968615763081
21,SCL Health Lutheran Medical Center,"['building', 'building.healthcare', 'healthcare', 'healthcare.hospital']",80033,39.767992449999994,-105.0905785975695
22,Rocky Mountain Urgent Care,"['building', 'building.healthcare', 'building.office', 'healthcare', 'healthcare.clinic_or_praxis']",80015,39.60961815,-104.75070889668174
23,"Children's Hospital Colorado Anschutz Medical Campus, Aurora","['building', 'building.healthcare', 'healthcare', 'healthcare.hospital']",80045,39.742181849999994,-104.83481569710175
24,Walgreens,"['building', 'building.commercial', 'building.healthcare', 'commercial.health_and_beauty', 'commercial.health_and_beauty.pharmacy', 'healthcare', 'healthcare.pharmacy']",80260,39.88460585,-105.02390273613659
25,Children's Hospital Colorado Uptown Denver,"['building', 'building.healthcare', 'healthcare', 'healthcare.clinic_or_praxis.paediatrics', 'healthcare.hospital']",80218,39.745184949999995,-104.96783984847397
26,Good Samaritan Medical Center,"['healthcare', 'healthcare.hospital']",80026,39.96976445,-105.08660463304719
27,Avista Adventist Campus,"['healthcare', 'healthcare.hospital']",80027,39.951636300000004,-105.15189102208683
28,Saint Anthony North Health Campus,"['healthcare', 'healthcare.hospital']",80023,39.9554252,-104.9913966608369
