,Zip Code,Number of Facilities,Population,Per Capita Income,Median Age
0,80015,43,70215,41860,37.6
1,80218,42,18915,71825,34.9
2,80211,42,36061,59034,34
3,80016,37,58948,55122,38.5
4,80012,35,53862,26477,32.8
5,80203,34,21368,52577,32.3
6,80134,31,71112,50869,36.7
7,80204,25,34860,39623,32.6
8,80027,23,32755,54392,38.6
9,80020,22,51801,45746,38.5
10,80026,20,30817,54523,40.3
11,80014,18,39540,36235,40.6
12,80138,17,34692,48998,40.6
13,80212,16,20240,53568,37.2
14,80112,15,34714,53561,36.5
15,80222,15,24682,45116,38.3
16,80011,15,51806,23027,32.7
17,80202,14,15813,90952,34.4
18,80228,14,34518,47417,38.8
19,80224,13,19450,41454,37.4
20,80017,13,39182,27893,32.4
21,80113,13,23715,65648,38.3
22,80214,12,26021,32950,35.9
23,80129,12,32286,54466,40.4
24,80401,12,42907,50142,39.5
25,80249,12,35104,27851,31.6
26,80226,12,33022,34040,35.3
27,80126,12,44574,56853,40.8
28,80601,12,39385,31228,34
29,80111,11,32495,70106,39.1
30,80231,11,36103,37700,35.2
31,80045,10,901,37133,29.6
32,80033,10,26742,38779,42.9
33,80121,10,18567,69354,46.8
34,80110,10,23295,35039,36.4
35,80246,9,13277,48410,32.8
36,80205,9,34884,44752,32.6
37,80210,9,37786,61891,34.7
38,80233,9,50321,29967,33.1
39,80123,9,46575,48221,39.7
40,80124,8,21646,63736,39.5
41,80130,8,27892,53208,37.8
42,80023,8,22290,61287,42
43,80206,8,24913,72566,37.6
44,80229,7,56721,25054,32.1
45,80002,7,19319,41332,36.6
46,80003,7,36914,35063,36.3
47,80127,7,44866,53851,43.9
48,80215,7,20061,44246,40
49,80260,7,36938,24013,30.1
50,80230,7,10077,65838,41.6
51,80234,6,29310,38436,35.2
52,80232,6,23102,38193,39.8
53,80004,6,36118,41082,42.4
54,80010,6,43653,20293,32.5
55,80021,6,34277,44873,36.2
56,80220,5,36790,55409,36.6
57,80013,5,74293,33187,35.8
58,80122,5,33120,51541,43.1
59,80247,5,30161,32833,36
60,80216,5,14687,28799,30.1
61,80207,5,27326,47946,36.1
62,80108,5,28952,65107,41.5
63,80239,5,48835,24307,31.3
64,80022,5,51752,27857,32.1
65,80237,5,21771,50809,35.9
66,80238,5,21355,59776,34.7
67,80031,4,35753,42042,38.9
69,80602,4,38191,45057,37.6
70,80241,4,34856,38610,36.3
72,80007,3,16048,59539,38.2
73,80235,3,8565,38747,36.5
74,80516,2,31063,47795,37.2
75,80457,2,171,44018,40.6
76,80227,2,34850,39509,40.3
80,80120,2,30632,45866,41.4
81,80219,2,71795,21257,32.8
83,80603,1,14076,35855,35.9
85,80128,1,37181,44758,40.3
86,80236,1,18580,29124,36.8
87,80209,1,25032,75560,37.5
88,80030,1,16386,26013,35.6
91,80024,1,209,12189,36.1
92,80125,1,10832,56162,41.1
93,80640,1,12850,32546,35.3
94,80403,1,20302,60957,42.5
